0,0,0,0,0,0,0,0,0,0,0
0,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0
0,#FFFFFF,#FFFFFF,0,#FFFFFF,0,#FFFFFF,0,#FFFFFF,#FFFFFF,0
0,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,0
0,0,0,0,0,0,0,0,0,0,0
