0,0,0,0,0,0,0,0,0,0,0,,,
#FF0000,0,#FF0000,0,#FF0000,#FF0000,#FF0000,0,#FFFFFF,0,#FFFFFF,,,
#FF0000,0,#FF0000,0,#FF0000,0,#FF0000,0,#FFFFFF,0,#FFFFFF,,,
0,#FF0000,0,0,#FF0000,0,#FF0000,0,#FFFFFF,0,#FFFFFF,,,
0,#FF0000,0,0,#FF0000,0,#FF0000,0,#FFFFFF,0,#FFFFFF,,,
0,#FF0000,0,0,#FF0000,#FF0000,#FF0000,0,#FFFFFF,#FFFFFF,#FFFFFF,,#FFFFFF,white
0,0,0,0,0,0,0,0,0,0,0,,#FF0000,red
0,0,0,0,0,0,0,0,0,0,0,,#ffa500,orange
#FFFFFF,0,0,0,#FF0000,#FF0000,#FF0000,0,#FFFFFF,#FFFFFF,#FFFFFF,,#ffff00,yellow
#FFFFFF,0,0,0,#FF0000,0,#FF0000,0,#FFFFFF,0,0,,#00ff00,green
#FFFFFF,0,0,0,#FF0000,0,#FF0000,0,#FFFFFF,#FFFFFF,#FFFFFF,,#00FFFF,cyan
#FFFFFF,0,0,0,#FF0000,0,#FF0000,0,0,0,#FFFFFF,,#A52A2A,brown
#FFFFFF,#FFFFFF,#FFFFFF,0,#FF0000,#FF0000,#FF0000,0,#FFFFFF,#FFFFFF,#FFFFFF,,,
0,0,0,0,0,0,0,0,0,0,0,,,
#FF0000,#FF0000,#FF0000,0,0,#FF0000,0,0,0,0,0,,,
#FF0000,0,0,0,0,#FF0000,0,0,0,0,0,,,
#FF0000,#FF0000,0,0,0,#FF0000,0,0,0,0,0,,,
#FF0000,0,0,0,0,0,0,0,0,0,0,,,
#FF0000,#FF0000,#FF0000,0,0,#FF0000,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,,,
