0,0,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,0,0,0,0,,,
0,0,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,0,0,0,,,
0,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,#FF0000,0,,,
0,#A52A2A,#A52A2A,#A52A2A,#ffa500,#ffa500,0,#ffa500,0,0,0,,,
#A52A2A,#ffa500,#A52A2A,#ffa500,#ffa500,#ffa500,0,#ffa500,#ffa500,#ffa500,0,,#FFFFFF,white
#A52A2A,#ffa500,#A52A2A,#A52A2A,#ffa500,#ffa500,0,#ffa500,#ffa500,#ffa500,0,,#FF0000,red
#A52A2A,#A52A2A,#ffa500,#ffa500,#ffa500,#ffa500,#ffa500,#A52A2A,#ffa500,#ffa500,#ffa500,,#ffa500,orange
0,0,#ffa500,#ffa500,#ffa500,#ffa500,#A52A2A,#A52A2A,#A52A2A,#A52A2A,0,,#ffff00,yellow
0,0,#ffa500,#ffa500,#ffa500,#ffa500,#ffa500,#ffa500,#ffa500,0,0,,#00ff00,green
0,#FF0000,#FF0000,#00FFFF,#FF0000,#FF0000,#FF0000,0,0,0,0,,#00FFFF,cyan
0,#FF0000,#FF0000,#00FFFF,#FF0000,#FF0000,#00FFFF,#FF0000,#FF0000,#FF0000,0,,#A52A2A,brown
#FF0000,#FF0000,#FF0000,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#FF0000,#FF0000,#FF0000,0,,,
#FF0000,#FF0000,#FF0000,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#FF0000,#FF0000,#FF0000,#FF0000,,,
#ffa500,#ffa500,#FF0000,#ffff00,#00FFFF,#00FFFF,#ffff00,#00FFFF,#FF0000,#ffa500,#ffa500,,,
#ffa500,#ffa500,#ffa500,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#ffa500,#ffa500,#ffa500,,,
#ffa500,#ffa500,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#00FFFF,#ffa500,#ffa500,,,
0,0,#00FFFF,#00FFFF,#00FFFF,0,#00FFFF,#00FFFF,#00FFFF,0,0,,,
0,0,#00FFFF,#00FFFF,#00FFFF,0,#00FFFF,#00FFFF,#00FFFF,0,0,,,
0,#A52A2A,#A52A2A,#A52A2A,0,0,0,#A52A2A,#A52A2A,#A52A2A,0,,,
0,#A52A2A,#A52A2A,#A52A2A,0,0,0,#A52A2A,#A52A2A,#A52A2A,0,,,
#A52A2A,#A52A2A,#A52A2A,#A52A2A,0,0,0,#A52A2A,#A52A2A,#A52A2A,#A52A2A,,,
0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,0,0,0,,,
